Column,Age,Country Code,Sex,Religion,,
Meaning,Years,,"1=Male
2=Female","0=No denomination
1=Roman Catholic
2=Protestant
3=Orthodox
4=Jew
5=Muslim
6=Hindu
7=Buddhist
8=Other","1=Urban
2=Rural",
D_INTERVIEW,Q262,Q266,Q260,Q289,H_URBRURAL,ISO3_Code
20070428,27,20,2,1,1,AND
20070429,50,724,1,1,1,ESP
20070430,48,724,1,1,1,ESP
20070431,34,620,2,1,1,PRT
20070432,44,724,1,1,1,ESP
20070433,43,643,2,3,1,RUS
20070434,52,643,1,3,1,RUS
20070435,48,724,2,1,1,ESP
20070436,68,724,1,1,1,ESP
20070437,62,724,1,1,1,ESP
20070438,27,250,2,1,1,FRA
20070439,29,620,1,1,1,PRT
20070440,44,724,1,1,1,ESP
20070441,38,620,1,1,1,PRT
20070442,31,724,2,1,1,ESP
20070443,62,724,2,1,1,ESP
20070444,42,170,2,1,1,COL
20070445,49,620,1,1,1,PRT
20070446,54,20,2,1,1,AND
20070447,29,250,2,1,1,FRA
20070448,54,724,1,1,1,ESP
20070449,24,620,1,1,1,PRT
20070450,58,620,2,1,1,PRT
20070451,55,724,2,1,1,ESP
20070452,47,724,2,1,1,ESP
20070453,38,20,2,1,1,AND
20070454,51,724,2,1,1,ESP
20070455,68,250,1,2,1,FRA
20070456,44,620,2,1,1,PRT
20070457,64,620,2,1,1,PRT
20070458,71,724,1,1,1,ESP
20070459,80,20,1,1,1,AND
20070460,60,724,2,0,1,ESP
20070461,42,724,2,0,1,ESP
20070462,72,724,2,1,1,ESP
20070463,54,724,2,0,1,ESP
20070464,39,20,1,1,1,AND
20070465,74,724,1,1,1,ESP
20070466,49,250,1,0,1,FRA
20070467,37,250,2,0,1,FRA
20070468,58,724,2,1,1,ESP
20070469,26,20,1,1,1,AND
20070470,21,724,1,1,1,ESP
20070471,30,724,2,1,1,ESP
20070472,24,620,2,1,1,PRT
20070473,24,724,1,1,1,ESP
20070474,58,20,1,1,2,AND
20070475,61,724,2,1,1,ESP
20070476,49,724,2,1,1,ESP
20070477,38,862,2,0,1,VEN
20070478,58,724,1,1,1,ESP
20070479,45,620,1,1,1,PRT
20070480,53,724,1,0,1,ESP
20070481,70,20,2,1,1,AND
20070482,22,250,2,1,1,FRA
20070483,30,20,1,1,1,AND
20070484,22,620,2,1,1,PRT
20070485,33,620,1,1,1,PRT
20070486,56,20,1,1,1,AND
20070487,68,724,1,0,1,ESP
20070488,53,724,2,1,1,ESP
20070489,51,20,2,1,1,AND
20070490,68,724,2,1,1,ESP
20070491,60,724,2,0,1,ESP
20070492,83,504,2,-2,1,MAR
20070493,45,203,2,1,1,CZE
20070494,28,724,1,0,1,ESP
20070495,33,620,2,1,1,PRT
20070496,41,620,2,1,1,PRT
20070497,52,20,1,0,1,AND
20070498,27,250,2,0,1,FRA
20070499,25,250,2,0,1,FRA
20070500,34,192,2,0,1,CUB
20070501,38,620,1,0,1,PRT
20070502,46,276,2,1,1,DEU
20070503,48,620,1,1,1,PRT
20070504,53,620,2,1,1,PRT
20070505,48,20,1,1,1,AND
20070506,32,724,2,0,1,ESP
20070507,20,20,2,0,1,AND
20070508,41,724,2,0,1,ESP
20070509,38,152,1,0,1,CHL
20070510,52,724,1,1,1,ESP
20070511,38,250,1,1,1,FRA
20070512,58,724,2,1,1,ESP
20070513,44,620,2,1,1,PRT
20070514,38,724,1,5,1,ESP
20070515,54,20,1,1,1,AND
20070516,45,20,2,1,1,AND
20070517,63,724,1,0,1,ESP
20070518,65,250,2,0,1,FRA
20070519,18,20,1,0,1,AND
20070520,19,724,1,0,1,ESP
20070521,34,20,2,0,1,AND
20070522,42,20,1,1,1,AND
20070523,37,620,2,1,1,PRT
20070524,35,620,1,1,1,PRT
20070525,50,724,2,1,1,ESP
20070526,68,32,2,0,1,ARG
20070527,34,620,2,1,1,PRT
20070528,19,20,2,0,1,AND
20070529,50,724,1,1,1,ESP
20070530,52,724,2,1,1,ESP
20070531,48,724,1,1,1,ESP
20070532,48,20,2,1,1,AND
20070533,33,32,2,1,1,ARG
20070534,57,484,2,0,1,MEX
20070535,77,20,1,1,1,AND
20070536,68,724,2,1,1,ESP
20070537,82,724,1,0,1,ESP
20070538,58,620,2,1,1,PRT
20070539,90,724,2,1,1,ESP
20070540,51,20,2,0,1,AND
20070541,53,620,1,1,1,PRT
20070542,34,32,2,1,1,ARG
20070543,31,32,2,1,1,ARG
20070544,50,724,2,1,1,ESP
20070545,38,724,2,1,1,ESP
20070546,34,32,1,0,1,ARG
20070547,36,724,1,0,1,ESP
20070548,49,20,2,0,1,AND
20070549,29,250,2,0,1,FRA
20070550,37,20,1,0,1,AND
20070551,47,32,2,1,1,ARG
20070552,26,32,2,0,1,ARG
20070553,30,32,1,0,1,ARG
20070554,44,724,2,0,1,ESP
20070555,63,724,1,1,1,ESP
20070556,34,20,1,0,1,AND
20070557,73,620,1,1,1,PRT
20070558,36,724,2,1,1,ESP
20070559,42,32,1,1,1,ARG
20070560,42,620,2,1,1,PRT
20070561,46,724,1,0,1,ESP
20070562,46,32,2,7,1,ARG
20070563,42,20,1,0,1,AND
20070564,33,858,2,1,1,URY
20070565,59,724,2,1,1,ESP
20070566,51,32,2,1,1,ARG
20070567,32,643,2,3,1,RUS
20070568,34,20,2,1,1,AND
20070569,72,250,2,1,1,FRA
20070570,58,724,2,1,1,ESP
20070571,29,620,2,1,1,PRT
20070572,38,620,1,1,1,PRT
20070573,46,20,1,1,1,AND
20070574,37,620,1,1,1,PRT
