country,environment,count,proportion,population_proportion,sample_proportion,benchmark_proportion,deviation,abs_deviation,normalized_deviation,tvd_contribution
Germany,Rural,1.0,0.0016666666666666668,0.0024462002338898,0.0016666666666666668,0.0024462002338898,-0.000779533567223133,0.000779533567223133,-0.31867120132826,0.0003897667836115665
Nepal,Urban,,,0.0007661817239455,0.0,0.0007661817239455,-0.0007661817239455,0.0007661817239455,-1.0,0.00038309086197275
Burkina Faso,Urban,,,0.0007597619386389,0.0,0.0007597619386389,-0.0007597619386389,0.0007597619386389,-1.0,0.00037988096931945
Singapore,Urban,,,0.0007588448264522,0.0,0.0007588448264522,-0.0007588448264522,0.0007588448264522,-1.0,0.0003794224132261
Azerbaijan,Urban,,,0.0007239945633589,0.0,0.0007239945633589,-0.0007239945633589,0.0007239945633589,-1.0,0.00036199728167945
Zimbabwe,Urban,,,0.0007137753132789,0.0,0.0007137753132789,-0.0007137753132789,0.0007137753132789,-1.0,0.00035688765663945
Benin,Urban,,,0.0007119410889056,0.0,0.0007119410889056,-0.0007119410889056,0.0007119410889056,-1.0,0.0003559705444528
Saudi Arabia,Rural,,,0.0007102378805589,0.0,0.0007102378805589,-0.0007102378805589,0.0007102378805589,-1.0,0.00035511894027945
Lebanon,Urban,,,0.0007072245119456,0.0,0.0007072245119456,-0.0007072245119456,0.0007072245119456,-1.0,0.0003536122559728
Honduras,Urban,,,0.0007044731753856,0.0,0.0007044731753856,-0.0007044731753856,0.0007044731753856,-1.0,0.0003522365876928
Bulgaria,Urban,,,0.0006915025887456,0.0,0.0006915025887456,-0.0006915025887456,0.0006915025887456,-1.0,0.0003457512943728
Libya,Urban,,,0.0006790560662123,0.0,0.0006790560662123,-0.0006790560662123,0.0006790560662123,-1.0,0.00033952803310615
"China, Taiwan Province of China",Rural,,,0.0006781389540256,0.0,0.0006781389540256,-0.0006781389540256,0.0006781389540256,-1.0,0.0003390694770128
Haiti,Rural,,,0.0006511496525323,0.0,0.0006511496525323,-0.0006511496525323,0.0006511496525323,-1.0,0.00032557482626615
Serbia,Urban,,,0.0006439437710657,0.0,0.0006439437710657,-0.0006439437710657,0.0006439437710657,-1.0,0.00032197188553285
Guinea,Urban,,,0.0006180025977857,0.0,0.0006180025977857,-0.0006180025977857,0.0006180025977857,-1.0,0.00030900129889285
Tunisia,Urban,1.0,0.0016666666666666668,0.0010531068223451,0.0016666666666666668,0.0010531068223451,0.0006135598443215667,0.0006135598443215667,0.5826188106494907,0.00030677992216078336
Togo,Rural,,,0.0006104036682391,0.0,0.0006104036682391,-0.0006104036682391,0.0006104036682391,-1.0,0.00030520183411955
El Salvador,Urban,,,0.0006050320111457,0.0,0.0006050320111457,-0.0006050320111457,0.0006050320111457,-1.0,0.00030251600557285
Lao People's Democratic Republic,Rural,,,0.0005927165046391,0.0,0.0005927165046391,-0.0005927165046391,0.0005927165046391,-1.0,0.00029635825231955
Sierra Leone,Rural,,,0.0005860346872791,0.0,0.0005860346872791,-0.0005860346872791,0.0005860346872791,-1.0,0.00029301734363955
United Arab Emirates,Urban,1.0,0.0016666666666666668,0.0010816683161584,0.0016666666666666668,0.0010816683161584,0.0005849983505082667,0.0005849983505082667,0.5408296996124635,0.00029249917525413336
Azerbaijan,Rural,,,0.0005762084852791,0.0,0.0005762084852791,-0.0005762084852791,0.0005762084852791,-1.0,0.00028810424263955
Paraguay,Urban,,,0.0005564250652525,0.0,0.0005564250652525,-0.0005564250652525,0.0005564250652525,-1.0,0.00027821253262625
Kuwait,Urban,,,0.0005498742639192,0.0,0.0005498742639192,-0.0005498742639192,0.0005498742639192,-1.0,0.0002749371319596
Oman,Urban,,,0.0005349384368792,0.0,0.0005349384368792,-0.0005349384368792,0.0005349384368792,-1.0,0.0002674692184396
Honduras,Rural,,,0.0005293047477325,0.0,0.0005293047477325,-0.0005293047477325,0.0005293047477325,-1.0,0.00026465237386625
Sweden,Urban,1.0,0.0016666666666666668,0.001143507880745,0.0016666666666666668,0.001143507880745,0.0005231587859216669,0.0005231587859216669,0.4575034372135912,0.0002615793929608334
Costa Rica,Urban,,,0.0005148929847992,0.0,0.0005148929847992,-0.0005148929847992,0.0005148929847992,-1.0,0.0002574464923996
Greece,Urban,1.0,0.0016666666666666668,0.001154120178905,0.0016666666666666668,0.001154120178905,0.0005125464877616668,0.0005125464877616668,0.44410148711545616,0.0002562732438808334
Kyrgyzstan,Rural,,,0.0005114865681059,0.0,0.0005114865681059,-0.0005114865681059,0.0005114865681059,-1.0,0.00025574328405295
Sri Lanka,Urban,,,0.0005071630392259,0.0,0.0005071630392259,-0.0005071630392259,0.0005071630392259,-1.0,0.00025358151961295
State of Palestine,Urban,,,0.0005041496706126,0.0,0.0005041496706126,-0.0005041496706126,0.0005041496706126,-1.0,0.0002520748353063
Serbia,Rural,,,0.0005040186545859,0.0,0.0005040186545859,-0.0005040186545859,0.0005040186545859,-1.0,0.00025200932729295
Venezuela (Bolivarian Republic of),Rural,,,0.0005003502058392,0.0,0.0005003502058392,-0.0005003502058392,0.0005003502058392,-1.0,0.0002501751029196
Cambodia,Urban,,,0.0004978609013326,0.0,0.0004978609013326,-0.0004978609013326,0.0004978609013326,-1.0,0.0002489304506663
Nicaragua,Urban,,,0.0004818769460793,0.0,0.0004818769460793,-0.0004818769460793,0.0004818769460793,-1.0,0.00024093847303965
Niger,Urban,,,0.0004801737377326,0.0,0.0004801737377326,-0.0004801737377326,0.0004801737377326,-1.0,0.0002400868688663
Austria,Rural,,,0.0004782084973326,0.0,0.0004782084973326,-0.0004782084973326,0.0004782084973326,-1.0,0.0002391042486663
Argentina,Rural,,,0.0004759812248793,0.0,0.0004759812248793,-0.0004759812248793,0.0004759812248793,-1.0,0.00023799061243965
Tunisia,Rural,,,0.0004744090325593,0.0,0.0004744090325593,-0.0004744090325593,0.0004744090325593,-1.0,0.00023720451627965
Congo,Urban,,,0.0004733609043459,0.0,0.0004733609043459,-0.0004733609043459,0.0004733609043459,-1.0,0.00023668045217295
Portugal,Rural,,,0.0004690373754659,0.0,0.0004690373754659,-0.0004690373754659,0.0004690373754659,-1.0,0.00023451868773295
Chad,Urban,,,0.0004637967343993,0.0,0.0004637967343993,-0.0004637967343993,0.0004637967343993,-1.0,0.00023189836719965
Bolivia (Plurinational State of),Rural,,,0.0004492539554393,0.0,0.0004492539554393,-0.0004492539554393,0.0004492539554393,-1.0,0.00022462697771965
Puerto Rico,Urban,,,0.000448598875306,0.0,0.000448598875306,-0.000448598875306,0.000448598875306,-1.0,0.000224299437653
Togo,Urban,,,0.0004365454008527,0.0,0.0004365454008527,-0.0004365454008527,0.0004365454008527,-1.0,0.00021827270042635
Uruguay,Urban,,,0.0004334010162127,0.0,0.0004334010162127,-0.0004334010162127,0.0004334010162127,-1.0,0.00021670050810635
Sierra Leone,Urban,,,0.000425409038586,0.0,0.000425409038586,-0.000425409038586,0.000425409038586,-1.0,0.000212704519293
Eritrea,Rural,,,0.000407328826906,0.0,0.000407328826906,-0.000407328826906,0.000407328826906,-1.0,0.000203664413453
Ireland,Urban,,,0.0003976336409327,0.0,0.0003976336409327,-0.0003976336409327,0.0003976336409327,-1.0,0.00019881682046635
Turkmenistan,Urban,,,0.000395537384506,0.0,0.000395537384506,-0.000395537384506,0.000395537384506,-1.0,0.000197768692253
Netherlands,Urban,1.0,0.0016666666666666668,0.0020479115128237,0.0016666666666666668,0.0020479115128237,-0.0003812448461570333,0.0003812448461570333,-0.18616275350264794,0.00019062242307851666
Turkmenistan,Rural,,,0.0003710373875194,0.0,0.0003710373875194,-0.0003710373875194,0.0003710373875194,-1.0,0.0001855186937597
Panama,Urban,,,0.0003692031631461,0.0,0.0003692031631461,-0.0003692031631461,0.0003692031631461,-1.0,0.00018460158157305
Czechia,Rural,,,0.0003648796342661,0.0,0.0003648796342661,-0.0003648796342661,0.0003648796342661,-1.0,0.00018243981713305
Central African Republic,Rural,,,0.0003639625220794,0.0,0.0003639625220794,-0.0003639625220794,0.0003639625220794,-1.0,0.0001819812610397
Saudi Arabia,Urban,2.0,0.0033333333333333335,0.003685873878208,0.0033333333333333335,0.003685873878208,-0.00035254054487466636,0.00035254054487466636,-0.09564639391461346,0.00017627027243733318
Qatar,Urban,,,0.0003500748232528,0.0,0.0003500748232528,-0.0003500748232528,0.0003500748232528,-1.0,0.0001750374116264
Bangladesh,Urban,5.0,0.008333333333333333,0.0079846407291618,0.008333333333333333,0.0079846407291618,0.0003486926041715334,0.0003486926041715334,0.04367041874508209,0.0001743463020857667
Paraguay,Rural,,,0.0003470614546395,0.0,0.0003470614546395,-0.0003470614546395,0.0003470614546395,-1.0,0.00017353072731975
Cuba,Rural,,,0.0003456202783461,0.0,0.0003456202783461,-0.0003456202783461,0.0003456202783461,-1.0,0.00017281013917305
Nicaragua,Rural,,,0.0003415587815195,0.0,0.0003415587815195,-0.0003415587815195,0.0003415587815195,-1.0,0.00017077939075975
South Sudan,Urban,,,0.0003319946115728,0.0,0.0003319946115728,-0.0003319946115728,0.0003319946115728,-1.0,0.0001659973057864
Poland,Rural,1.0,0.0016666666666666668,0.0019940639258637,0.0016666666666666668,0.0019940639258637,-0.0003273972591970331,0.0003273972591970331,-0.16418593955317942,0.00016369862959851654
Liberia,Urban,,,0.0003253127942128,0.0,0.0003253127942128,-0.0003253127942128,0.0003253127942128,-1.0,0.0001626563971064
Tajikistan,Urban,,,0.0003237406018928,0.0,0.0003237406018928,-0.0003237406018928,0.0003237406018928,-1.0,0.0001618703009464
Mauritania,Urban,,,0.0003192860569862,0.0,0.0003192860569862,-0.0003192860569862,0.0003192860569862,-1.0,0.0001596430284931
Lao People's Democratic Republic,Urban,,,0.0003192860569862,0.0,0.0003192860569862,-0.0003192860569862,0.0003192860569862,-1.0,0.0001596430284931
Liberia,Rural,,,0.0003106389992262,0.0,0.0003106389992262,-0.0003106389992262,0.0003106389992262,-1.0,0.0001553194996131
Greece,Rural,,,0.0003056603902128,0.0,0.0003056603902128,-0.0003056603902128,0.0003056603902128,-1.0,0.0001528301951064
