country,gender,age_group,count,proportion,population_proportion,sample_proportion,benchmark_proportion,deviation,abs_deviation,normalized_deviation,tvd_contribution
Poland,Female,35-44,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
Spain,Male,35-44,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
Spain,Male,25-34,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
Spain,Female,35-44,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
Egypt,Female,25-34,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
Korea South,Female,25-34,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
Italy,Male,35-44,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
South Africa,Male,25-34,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
Italy,Male,55-64,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
South Africa,Female,18-24,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
Germany,Male,35-44,2.0,0.0033333333333333335,,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,inf,0.0016666666666666668
Pakistan,Male,26-35,,,0.0031704113837465,0.0,0.0031704113837465,-0.0031704113837465,0.0031704113837465,-1.0,0.00158520569187325
Pakistan,Female,26-35,,,0.0030021249255814,0.0,0.0030021249255814,-0.0030021249255814,0.0030021249255814,-1.0,0.0015010624627907
Indonesia,Male,46-55,,,0.002951688435671,0.0,0.002951688435671,-0.002951688435671,0.002951688435671,-1.0,0.0014758442178355
Indonesia,Female,46-55,,,0.0029470733320191,0.0,0.0029470733320191,-0.0029470733320191,0.0029470733320191,-1.0,0.00147353666600955
Bangladesh,Female,18-25,,,0.0028366404946336,0.0,0.0028366404946336,-0.0028366404946336,0.0028366404946336,-1.0,0.0014183202473168
Brazil,Female,36-45,,,0.0027590078582029,0.0,0.0027590078582029,-0.0027590078582029,0.0027590078582029,-1.0,0.00137950392910145
Brazil,Male,36-45,,,0.0027064286415969,0.0,0.0027064286415969,-0.0027064286415969,0.0027064286415969,-1.0,0.00135321432079845
Brazil,Male,26-35,,,0.002692912980902,0.0,0.002692912980902,-0.002692912980902,0.002692912980902,-1.0,0.001346456490451
Brazil,Female,26-35,,,0.0026742877411638,0.0,0.0026742877411638,-0.0026742877411638,0.0026742877411638,-1.0,0.0013371438705819
Japan,Male,65+,,,0.0026643982333383,0.0,0.0026643982333383,-0.0026643982333383,0.0026643982333383,-1.0,0.00133219911666915
Nigeria,Male,26-35,,,0.0026592886542951,0.0,0.0026592886542951,-0.0026592886542951,0.0026592886542951,-1.0,0.00132964432714755
Russian Federation,Female,65+,,,0.0026362131360354,0.0,0.0026362131360354,-0.0026362131360354,0.0026362131360354,-1.0,0.0013181065680177
Bangladesh,Male,18-25,,,0.0026093466397759,0.0,0.0026093466397759,-0.0026093466397759,0.0026093466397759,-1.0,0.00130467331988795
Brazil,Male,18-25,,,0.002603577760211,0.0,0.002603577760211,-0.002603577760211,0.002603577760211,-1.0,0.0013017888801055
Nigeria,Female,26-35,,,0.0025765464388211,0.0,0.0025765464388211,-0.0025765464388211,0.0025765464388211,-1.0,0.00128827321941055
Brazil,Female,18-25,,,0.0025238023970848,0.0,0.0025238023970848,-0.0025238023970848,0.0025238023970848,-1.0,0.0012619011985424
Bangladesh,Female,26-35,,,0.002482101639087,0.0,0.002482101639087,-0.002482101639087,0.002482101639087,-1.0,0.0012410508195435
Brazil,Female,46-55,,,0.002315793082487,0.0,0.002315793082487,-0.002315793082487,0.002315793082487,-1.0,0.0011578965412435
Pakistan,Male,36-45,,,0.0022846411328365,0.0,0.0022846411328365,-0.0022846411328365,0.0022846411328365,-1.0,0.00114232056641825
Ethiopia,Male,18-25,,,0.00226667519362,0.0,0.00226667519362,-0.00226667519362,0.00226667519362,-1.0,0.00113333759681
Pakistan,Female,36-45,,,0.0022215131078833,0.0,0.0022215131078833,-0.0022215131078833,0.0022215131078833,-1.0,0.00111075655394165
